Category	Name
1) Ancient Mediterranean (Greece/Rome)	Homer
1) Ancient Mediterranean (Greece/Rome)	Sappho
1) Ancient Mediterranean (Greece/Rome)	Socrates
1) Ancient Mediterranean (Greece/Rome)	Plato
1) Ancient Mediterranean (Greece/Rome)	Aristotle
1) Ancient Mediterranean (Greece/Rome)	Alexander the Great
1) Ancient Mediterranean (Greece/Rome)	Archimedes
1) Ancient Mediterranean (Greece/Rome)	Euclid
1) Ancient Mediterranean (Greece/Rome)	Hippocrates
1) Ancient Mediterranean (Greece/Rome)	Herodotus
1) Ancient Mediterranean (Greece/Rome)	Thucydides
1) Ancient Mediterranean (Greece/Rome)	Pericles
1) Ancient Mediterranean (Greece/Rome)	Julius Caesar
1) Ancient Mediterranean (Greece/Rome)	Cicero
1) Ancient Mediterranean (Greece/Rome)	Augustus
1) Ancient Mediterranean (Greece/Rome)	Virgil
1) Ancient Mediterranean (Greece/Rome)	Ovid
1) Ancient Mediterranean (Greece/Rome)	Seneca
1) Ancient Mediterranean (Greece/Rome)	Marcus Aurelius
1) Ancient Mediterranean (Greece/Rome)	Cleopatra VII
2) Ancient Near East & Egypt	Sargon of Akkad
2) Ancient Near East & Egypt	Hammurabi
2) Ancient Near East & Egypt	Ashurbanipal
2) Ancient Near East & Egypt	Nebuchadnezzar II
2) Ancient Near East & Egypt	Nabonidus
2) Ancient Near East & Egypt	Cyrus the Great
2) Ancient Near East & Egypt	Darius I
2) Ancient Near East & Egypt	Xerxes I
2) Ancient Near East & Egypt	Zoroaster
2) Ancient Near East & Egypt	Hatshepsut
2) Ancient Near East & Egypt	Akhenaten
2) Ancient Near East & Egypt	Ramesses II
2) Ancient Near East & Egypt	Tutankhamun
2) Ancient Near East & Egypt	Imhotep
2) Ancient Near East & Egypt	Cleopatra I
2) Ancient Near East & Egypt	Solomon
2) Ancient Near East & Egypt	Ezra
2) Ancient Near East & Egypt	Nehemiah
2) Ancient Near East & Egypt	Jesus of Nazareth
2) Ancient Near East & Egypt	Paul the Apostle
3) Classical South Asia (incl. early medieval)	Gautama Buddha
3) Classical South Asia (incl. early medieval)	Mahavira
3) Classical South Asia (incl. early medieval)	Chanakya (Kautilya)
3) Classical South Asia (incl. early medieval)	Chandragupta Maurya
3) Classical South Asia (incl. early medieval)	Ashoka the Great
3) Classical South Asia (incl. early medieval)	Kanishka
3) Classical South Asia (incl. early medieval)	Chandragupta II (Vikramaditya)
3) Classical South Asia (incl. early medieval)	Samudragupta
3) Classical South Asia (incl. early medieval)	Harsha
3) Classical South Asia (incl. early medieval)	Kalidasa
3) Classical South Asia (incl. early medieval)	Panini
3) Classical South Asia (incl. early medieval)	Patanjali
3) Classical South Asia (incl. early medieval)	Aryabhata
3) Classical South Asia (incl. early medieval)	Brahmagupta
3) Classical South Asia (incl. early medieval)	Bhaskaracharya (Bhaskara II)
3) Classical South Asia (incl. early medieval)	Charaka
3) Classical South Asia (incl. early medieval)	Sushruta
3) Classical South Asia (incl. early medieval)	Nagarjuna
3) Classical South Asia (incl. early medieval)	Bharata Muni
3) Classical South Asia (incl. early medieval)	Ashvaghosha
4) Classical East Asia (China/Korea/Japan)	Confucius
4) Classical East Asia (China/Korea/Japan)	Laozi
4) Classical East Asia (China/Korea/Japan)	Mozi
4) Classical East Asia (China/Korea/Japan)	Mencius
4) Classical East Asia (China/Korea/Japan)	Sun Tzu
4) Classical East Asia (China/Korea/Japan)	Qin Shi Huang
4) Classical East Asia (China/Korea/Japan)	Han Wudi (Emperor Wu of Han)
4) Classical East Asia (China/Korea/Japan)	Sima Qian
4) Classical East Asia (China/Korea/Japan)	Zhang Qian
4) Classical East Asia (China/Korea/Japan)	Cai Lun
4) Classical East Asia (China/Korea/Japan)	Zhang Heng
4) Classical East Asia (China/Korea/Japan)	Wang Mang
4) Classical East Asia (China/Korea/Japan)	Wang Xizhi
4) Classical East Asia (China/Korea/Japan)	Empress Wu Zetian
4) Classical East Asia (China/Korea/Japan)	Xuanzang
4) Classical East Asia (China/Korea/Japan)	Li Bai
4) Classical East Asia (China/Korea/Japan)	Du Fu
4) Classical East Asia (China/Korea/Japan)	Han Fei
4) Classical East Asia (China/Korea/Japan)	Genghis Khan
4) Classical East Asia (China/Korea/Japan)	Prince Shotoku
5) Africa (pre-1800 kingdoms, scholarship, empires)	Hannibal Barca
5) Africa (pre-1800 kingdoms, scholarship, empires)	Dido (Elissa)
5) Africa (pre-1800 kingdoms, scholarship, empires)	Piye (Piankhi)
5) Africa (pre-1800 kingdoms, scholarship, empires)	Taharqa
5) Africa (pre-1800 kingdoms, scholarship, empires)	Amanirenas
5) Africa (pre-1800 kingdoms, scholarship, empires)	Ezana of Axum
5) Africa (pre-1800 kingdoms, scholarship, empires)	Kaleb of Axum
5) Africa (pre-1800 kingdoms, scholarship, empires)	Sundiata Keita
5) Africa (pre-1800 kingdoms, scholarship, empires)	Mansa Musa
5) Africa (pre-1800 kingdoms, scholarship, empires)	Sonni Ali
5) Africa (pre-1800 kingdoms, scholarship, empires)	Askia Muhammad I
5) Africa (pre-1800 kingdoms, scholarship, empires)	Ibn Khaldun
5) Africa (pre-1800 kingdoms, scholarship, empires)	Ibn Battuta
5) Africa (pre-1800 kingdoms, scholarship, empires)	Ahmad ibn Ibrahim al-Ghazi
5) Africa (pre-1800 kingdoms, scholarship, empires)	Ahmed Baba
5) Africa (pre-1800 kingdoms, scholarship, empires)	Oba Ewuare (Benin)
5) Africa (pre-1800 kingdoms, scholarship, empires)	Osei Tutu
5) Africa (pre-1800 kingdoms, scholarship, empires)	Queen Nzinga
5) Africa (pre-1800 kingdoms, scholarship, empires)	Afonso I of Kongo
5) Africa (pre-1800 kingdoms, scholarship, empires)	Shaka Zulu
6) Indigenous Americas (pre-1900)	K'inich Janaab' Pakal (Pakal the Great)
6) Indigenous Americas (pre-1900)	Lady Six Sky
6) Indigenous Americas (pre-1900)	Nezahualcoyotl
6) Indigenous Americas (pre-1900)	Itzcoatl
